Rank,TeamName,GP,W,D,L,F,A,GD,Score,Points
1,Liverpool,38,31,6,1,78,26,+52,97.95566845329311,99
2,Man City,38,23,8,7,82,36,+46,76.11754527335903,77
3,Chelsea,38,21,8,9,63,41,+22,66.32732998280126,71
4,Leicester,38,18,10,10,65,36,+29,64.67750608600878,64
5,Man United,38,20,10,8,56,31,+25,64.15786189961922,70
6,Arsenal,38,15,17,6,54,40,+14,59.40722471167519,62
7,Tottenham,38,13,15,10,56,47,+9,55.435608811274896,54
8,Sheffield United,38,13,11,14,33,33,0,53.460130318768606,50
9,Wolves,38,10,19,9,47,45,+2,52.17204232949203,49
10,Everton,38,11,13,14,44,54,-10,50.731250023523856,46
11,Burnley,38,14,9,15,40,48,-8,49.311352375711294,51
12,Crystal Palace,38,11,14,13,32,41,-9,49.13681777265501,47
13,Newcastle,38,10,15,13,33,50,-17,47.18822789767925,45
14,Southampton,38,12,9,17,42,60,-18,45.28709844265805,45
15,West Ham,38,7,12,19,41,60,-19,38.018714841727615,33
16,Brighton,38,6,12,20,33,49,-16,37.429000670690776,30
17,Bournemouth,38,7,13,18,36,58,-22,36.60238900488465,34
18,Watford,38,7,14,17,33,54,-21,36.56632896029288,35
19,Aston Villa,38,8,9,21,40,66,-26,36.188846884564605,33
20,Norwich,38,6,10,22,30,63,-33,30.14123784386383,28